Exp, Mean, Var, Tau, Temp, Mixtures, conv1_val, conv1_sp, conv2_val, conv2_sp, fc1_val, fc1_sp, fc2_val, fc_2sp, Test Acc, Val Acc
36, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 10, 3, 32.3, 17.53846153846154, 10.3, 17.53846153846154, 20.32, 97.3066346922462, 80.36, 85.06986027944112, 10.0, 10.0
37, 181.0558243027123, 1711.5848649958707, 2.201777541331045e-07, 10, 3, 32.24, 17.692307692307693, 94.31, 17.692307692307693, 42.2, 97.31302957633893, 83.52, 85.60878243512974, 10.62, 10.91
38, 5.725487884358383, 953.8765834528191, 2.201777541331045e-07, 10, 3, 32.3, 17.53846153846154, 10.3, 17.53846153846154, 21.79, 97.2978417266187, 82.58, 84.35129740518961, 10.0, 9.99
39, 5.725487884358383, 1711.5848649958707, 1.766323766264439e-05, 10, 3, 51.1, 41.84615384615385, 10.09, 41.84615384615385, 30.52, 97.67881694644285, 94.03, 93.91217564870259, 9.8, 9.91
40, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 16, 3, 32.29, 17.53846153846154, 10.3, 17.53846153846154, 21.5, 97.3021582733813, 86.6, 87.50499001996008, 9.99, 9.99
41, 5.725487884358383, 1711.5848649958707, 2.201777541331045e-07, 10, 7, 40.34, 8.153846153846153, 10.09, 8.153846153846153, 10.09, 96.77250199840128, 42.28, 80.91816367265469, 9.8, 9.91
42, 5.725487884358383, 953.8765834528191, 1.766323766264439e-05, 16, 7, 30.09, 28.153846153846153, 10.09, 28.153846153846153, 10.09, 97.36770583533173, 94.91, 93.9321357285429, 9.8, 9.91
43, 181.0558243027123, 1711.5848649958707, 1.766323766264439e-05, 16, 7, 45.17, 36.61538461538461, 91.17, 36.61538461538461, 89.34, 97.36243005595524, 95.11, 94.07185628742515, 13.27, 13.54
44, 181.0558243027123, 953.8765834528191, 2.201777541331045e-07, 16, 7, 42.93, 13.384615384615383, 94.64, 13.384615384615383, 84.55, 96.82813749000799, 86.33, 84.37125748502994, 12.16, 12.77
45, 181.0558243027123, 953.8765834528191, 1.766323766264439e-05, 10, 7, 45.45, 36.92307692307693, 91.74, 36.92307692307693, 89.38, 97.33173461231016, 94.63, 93.89221556886228, 11.61, 11.6
